ts,signal_id,token_symbol,chain,action,token_address,tokens_amount,usdc_amount,price_actual,slippage_pct,price_impact_pct,tx_hash,status,note
2026-06-16T11:52:22.842410,mirror_petin_20260616_115202,petin,solana,buy,6TotVaoKJYtAFnJikVofZkg1PxLNTvoq8XvTSKcZpump,1350184.165101,100.00,7.406397e-05,8.00,0.09,DRY_RUN,dry_run,
2026-06-16T11:52:23.088900,mirror_ELONSTARK_20260616_115205,ELONSTARK,,buy_skipped,2zU3jCHdqXGbRCHNw4UBcCrJvNYtAqpJZ6rZsTpxpump,,,,,,,skipped,rugcheck_failed
2026-06-16T11:52:23.089145,mirror_ELONSTARK_20260616_115205,ELONSTARK,,entry,2zU3jCHdqXGbRCHNw4UBcCrJvNYtAqpJZ6rZsTpxpump,,,,,,,skipped,processed_no_buy
2026-06-16T11:52:23.912319,mirror_BULLANA_20260616_115207,BULLANA,solana,buy,55uo2vyy1vwi5B2213WCW2h3bEb7vntscyJQwT2Wpump,1796540.224799,100.00,5.5662544e-05,8.00,0.02,DRY_RUN,dry_run,
2026-06-16T11:53:08.728721,mirror_POTM_20260616_115201,POTM,solana,hard_sl,2PZAgPXXAUWv5EVkYUqDaroCzqW7QcxF8JfsRVKopump,1126292.071876,104.55,9.2830501e-05,20.00,0.00,DRY_RUN,dry_run,pnl=+4.55USDC
2026-06-16T11:53:09.548151,mirror_GLOOP_20260616_115209,GLOOP,solana,buy,56spWoDxKFs6BTm6LzMQfgQ2wDxKSQT6SGKazxHSpump,192420.170187,100.00,0.00051969604,8.00,0.00,DRY_RUN,dry_run,
2026-06-16T11:53:17.537266,mirror_Merlin_20260616_115212,Merlin,solana,buy,AvxFBjWydMYWD7C8pHzSkGxNYAFWr7aNBbAKm84bpump,79136.897254,100.00,0.0012636331,6.00,0.02,DRY_RUN,dry_run,
2026-06-16T11:53:19.686136,mirror_OILMAXXING_20260616_115212,OILMAXXING,solana,buy,FFRQbb9KaXomHrBKrtJ7UxrqSTxDGk8WLjacqnLLpump,946293.450058,100.00,0.00010567546,8.00,0.01,DRY_RUN,dry_run,
2026-06-16T11:53:30.345435,mirror_GutGenug_20260616_115218,GutGenug,solana,buy,w9Fh8VWmytLKo48AbnDf3vVdzN5SzpG6gFwmxeLpump,566955.757723,100.00,0.00017638061,8.00,0.00,DRY_RUN,dry_run,
2026-06-16T11:53:30.986420,mirror_FRAG_20260616_115243,FRAG,solana,buy,J4Y92jy5Lr9ho1aV41bhguytnzBbsPhZJahmaVszpump,84712.905161,100.00,0.0011804577,8.00,0.02,DRY_RUN,dry_run,
